灵动长春-场景侧-堡垒机单项服务统计,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.49,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,TDSQL-福利商城
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.50,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,TDSQL-敬老餐厅
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.51,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,人大金仓-01
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.52,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,人大金仓-02
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.53,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,人大金仓-03
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.211,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.214,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.217,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.110,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.130,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.137,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.142,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.143,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.149,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.150,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.156,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.180,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.212,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,0,0,
合计数量,,,115,合计金额,,,,,,,,,19288.5,,4855.2,
,,,,,,,,,,,,,,,,
服务目录编号,服务类型,服务名称,数量,单位,合计费用,,,,,,,,,,,
50,安全服务,VPN-10用户,1,套/日,296.01,,,,,,,,,,,
26,操作系统服务,银河麒麟高级服务器操作系统,87,套/日,0,,,,,,,,,,,
35,网络安全服务,云堡垒机（1资产）,21,套/日,15.6,,,,,,,,,,,
12,数据库服务,腾迅数据库TDSQL-C,15,套/日,100842,,,,,,,,,,,
5,数据库服务,人大金仓数据库-企业版,6,套/日,0,,,,,,,,,,,
36,操作系统服务,EulerOS,28,套/日,4855.2,,,,,,,,,,,
总计金额,,,,,106008.81,,,,,,,,,,,
