唯一编号,服务目录编号,服务类型,服务名称,数量,单位,单价,备注,开通时间,关停时间,计费开始时间,本期计费开始时间,本期计费截至日期,本月核算天数,使用天数,本月核算金额,应计费天数,合计费用
DB0148,12,数据库服务,腾迅数据库TDSQL-C,8,套/日,480.2,,2026/03/10,,2026/06/08,2026/04/01,2026/04/30,30,,"￥115,248.00",0,￥0.00
DB0149,5,数据库服务,人大金仓数据库-企业版,6,套/日,166.3,,2026/03/10,,2026/06/08,2026/04/01,2026/04/30,30,,"￥29,934.00",0,￥0.00
DB0150,50,安全服务,VPN-10用户,1,套/日,22.77,,2025/09/16,2026/04/14,2025/12/15,2026/04/01,2026/04/13,13,,￥296.01,13,￥296.01
DB0151,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.3,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0152,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.2,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0153,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.5,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0154,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.4,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0155,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.7,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0156,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.8,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0157,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.14,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0158,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.15,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0159,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.16,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0160,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.17,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0161,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.18,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0162,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.19,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0163,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.20,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0164,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.21,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0165,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.22,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0166,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.25,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0167,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.24,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0168,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.23,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0169,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.27,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0170,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.26,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0171,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.28,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0172,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.35,2025/09/17,,2025/12/16,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0173,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.36,2025/09/17,,2025/12/16,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0174,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.37,2025/09/17,,2025/12/16,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0175,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.40,2025/09/17,,2025/12/16,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0176,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.39,2025/09/17,,2025/12/16,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0177,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.41,2025/09/17,,2025/12/16,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0178,26,操作系统服务,EulerOS,1,套/日,5.78,10.10.0.42,2025/09/17,,2025/12/16,2026/04/01,2026/04/30,30,,￥173.40,30,￥173.40
DB0179,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.49,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0180,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.50,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0181,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.51,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0182,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.52,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0183,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.53,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0184,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.70,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0185,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.71,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0186,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.72,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0187,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.73,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0188,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.74,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0189,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.75,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0190,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.76,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0191,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.77,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0192,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.78,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0193,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.79,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0194,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.80,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0195,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.81,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0196,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.82,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0197,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.87,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0198,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.88,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0199,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.89,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0200,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.90,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0201,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.91,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0202,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.92,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0203,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.93,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0204,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.94,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0205,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.216,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0206,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.218,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0207,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.219,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0208,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.220,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0209,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.221,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0210,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.222,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0211,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.223,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0212,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.224,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0213,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.225,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0214,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.226,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0215,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.227,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0216,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.228,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0217,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.229,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0218,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.230,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0219,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.231,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0220,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.232,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0221,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.233,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0222,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.234,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0223,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.235,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0224,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.236,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0225,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.237,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0226,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.238,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0227,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.239,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0228,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.240,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0229,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.241,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0230,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.242,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0231,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.243,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0232,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.244,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0233,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.245,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0234,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.246,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0235,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.247,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0236,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.248,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0237,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.249,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0238,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.250,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0239,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.251,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0240,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.6,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0241,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.67,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0242,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.74,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0243,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.81,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0244,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.82,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0245,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.105,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0246,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.213,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0247,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.215,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0248,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.49,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0249,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.50,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0250,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.51,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0251,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.52,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0252,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.53,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0253,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.211,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0254,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.214,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0255,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.217,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0256,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.110,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0257,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.130,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0258,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.137,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0259,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.142,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0260,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.143,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0261,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.149,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0262,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.150,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0263,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.156,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0264,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.180,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0265,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.212,2026/03/06,,2026/06/04,2026/04/01,2026/04/30,30,,￥165.90,0,￥0.00
DB0266,5,数据库服务,人大金仓数据库,2,套/日,166.3,,2025/08/25,,2025/11/23,2026/04/01,2026/04/30,30,30,"￥9,978.00",30,"￥9,978.00"
DB0267,50,安全服务,VPN-10用户,1,套/日,22.77,,2025/08/25,2026/04/14,2025/11/23,2026/04/01,2026/04/13,13,13,￥296.01,13,￥296.01
DB0268,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.16,2025/08/25,,2025/11/23,2026/04/01,2026/04/30,30,30,￥165.90,30,￥165.90
DB0269,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.15,2025/08/25,,2025/11/23,2026/04/01,2026/04/30,30,30,￥165.90,30,￥165.90
DB0270,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.14,2025/08/25,,2025/11/23,2026/04/01,2026/04/30,30,30,￥165.90,30,￥165.90
DB0271,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.13,2025/08/25,,2025/11/23,2026/04/01,2026/04/30,30,30,￥165.90,30,￥165.90
DB0272,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.12,2025/08/25,,2025/11/23,2026/04/01,2026/04/30,30,30,￥165.90,30,￥165.90
DB0273,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.11,2025/08/25,,2025/11/23,2026/04/01,2026/04/30,30,30,￥165.90,30,￥165.90
DB0274,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.10,2025/08/25,,2025/11/23,2026/04/01,2026/04/30,30,30,￥165.90,30,￥165.90
DB0275,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.9,2025/08/25,,2025/11/23,2026/04/01,2026/04/30,30,30,￥165.90,30,￥165.90
DB0276,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.8,2025/08/25,,2025/11/23,2026/04/01,2026/04/30,30,30,￥165.90,30,￥165.90
DB0277,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.7,2025/08/25,,2025/11/23,2026/04/01,2026/04/30,30,30,￥165.90,30,￥165.90
DB0278,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.6,2025/08/25,,2025/11/23,2026/04/01,2026/04/30,30,30,￥165.90,30,￥165.90
DB0279,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.5,2025/08/25,,2025/11/23,2026/04/01,2026/04/30,30,30,￥165.90,30,￥165.90
DB0280,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.4,2025/08/25,,2025/11/23,2026/04/01,2026/04/30,30,30,￥165.90,30,￥165.90
DB0281,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.3,2025/08/25,,2025/11/23,2026/04/01,2026/04/30,30,30,￥165.90,30,￥165.90
DB0282,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,172.16.10.2,2025/08/25,,2025/11/23,2026/04/01,2026/04/30,30,30,￥165.90,30,￥165.90
DB0283,35,网络安全服务,云堡垒机（1资产）,1,套/日,1.95,,2026/01/29,,2026/04/29,2026/04/01,2026/04/30,30,,￥58.50,2,￥3.90
DB0284,50,安全服务,VPN-10用户,1,套/日,22.77,,2025/12/25,2026/04/14,2026/03/25,2026/04/01,2026/04/13,13,13,￥296.01,13,￥296.01
DB0285,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,81.2.60.2,2025/12/25,,2026/03/25,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0286,50,安全服务,VPN-10用户,2,套/日,22.77,,2025/09/16,2026/04/14,2025/12/15,2026/04/01,2026/04/13,13,,￥592.02,13,￥592.02
DB0287,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.82,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0288,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.81,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0289,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.80,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0290,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.79,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0291,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.12,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0292,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.75,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0293,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.74,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0294,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.72,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0295,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.73,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0296,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.71,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0297,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.69,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
DB0298,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,173.100.102.70,2025/09/16,,2025/12/15,2026/04/01,2026/04/30,30,,￥165.90,30,￥165.90
