唯一编号,数据块,服务目录编号,服务类型,服务名称,数量,单位,单价,备注,开通时间,关停时间,计费开始时间,本期计费开始时间,本期计费截至日期,本月核算天数,本月核算金额,截至2026年4月30日应计费天数,合计费用
CL00107,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.244,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00108,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.245,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00109,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.246,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00110,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.247,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00111,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.248,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00112,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.249,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00113,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.250,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00114,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.251,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00115,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.6,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00116,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.67,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00117,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.74,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00118,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.81,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00119,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.82,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00120,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.105,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00121,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.213,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00122,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.215,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00123,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.49,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00124,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.50,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00125,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.51,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00126,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.52,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00127,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.53,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00128,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.211,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00129,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.214,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00130,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.217,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00131,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.110,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00132,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.130,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00133,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.137,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00134,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.142,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00135,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.143,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00136,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.149,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00137,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.150,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00138,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.156,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00139,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.180,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
CL00140,灵动长春-场景侧-操作系统单项服务统计,26,操作系统服务,银河麒麟高级服务器操作系统,1,套/日,5.53,10.10.0.212,2026-03-06 00:00:00,,2026-06-04 00:00:00,2026-04-01 00:00:00,2026-04-30 00:00:00,30,165.9,,0
